from,to,distance_km,vehicle_type,fuel_type,traffic_level,road_type,co2_emission
Kolkata,Chennai,573,bus,electric,low,rural,12.22
Bhopal,Bhubaneswar,1551,bus,petrol,medium,city,234.49
Ahmedabad,Goa,896,bus,diesel,low,rural,81.05
Coimbatore,Ranchi,1372,bus,electric,high,highway,45.06
Delhi,Mysore,1517,car,electric,high,city,58.95
Nagpur,Pune,2061,bus,electric,low,rural,61.27
Lucknow,Chennai,1381,car,electric,medium,city,29.11
Ahmedabad,Mumbai,1115,bus,petrol,medium,city,154.07
Chennai,Indore,1234,bike,diesel,medium,rural,227.33
Chandigarh,Bhubaneswar,1442,bus,petrol,low,city,278.81
Hyderabad,Lucknow,624,bike,diesel,medium,highway,79.02
Visakhapatnam,Lucknow,716,bike,petrol,low,city,89.26
Mysore,Bhubaneswar,768,bike,petrol,low,highway,139.7
Bhubaneswar,Kochi,1342,bus,diesel,high,highway,236.23
Indore,Visakhapatnam,1467,bus,electric,medium,rural,48.13
Chandigarh,Chennai,2131,bike,diesel,high,city,209.55
Mysore,Indore,1973,bus,petrol,low,highway,336.67
Mysore,Bhubaneswar,469,car,petrol,low,rural,79.0
Jaipur,Ahmedabad,94,bike,diesel,medium,highway,16.48
Pune,Mumbai,857,car,diesel,medium,city,111.88
Patna,Goa,1294,bike,petrol,high,city,201.83
Mumbai,Kochi,1907,bus,diesel,medium,rural,196.42
Bangalore,Trivandrum,345,car,diesel,high,highway,75.64
Lucknow,Nagpur,970,bus,diesel,low,rural,95.84
Delhi,Nagpur,341,bus,diesel,medium,highway,56.21
Kochi,Mysore,648,car,petrol,low,city,56.21
Bhubaneswar,Pune,1355,car,petrol,high,highway,204.35
Bangalore,Visakhapatnam,491,car,diesel,medium,highway,79.48
Bangalore,Trivandrum,1032,bus,petrol,low,highway,99.2
Goa,Kochi,1921,car,petrol,low,city,272.48
Delhi,Goa,1868,car,electric,low,city,69.39
Chennai,Mysore,850,bike,petrol,high,highway,140.71
Chennai,Lucknow,763,car,electric,low,highway,14.89
Visakhapatnam,Bhopal,1682,bus,petrol,medium,city,178.38
Lucknow,Mysore,1636,bus,petrol,medium,rural,254.5
Goa,Mysore,1261,car,electric,low,city,29.08
Goa,Bhubaneswar,670,bike,petrol,high,rural,157.87
Lucknow,Goa,175,bike,diesel,high,rural,20.85
Kolkata,Delhi,296,bus,petrol,high,rural,51.64
Trivandrum,Mysore,1514,bus,petrol,high,city,254.83
Madurai,Ranchi,313,bus,petrol,low,highway,58.4
Bangalore,Trivandrum,1806,bike,electric,medium,highway,71.78
Chandigarh,Visakhapatnam,164,bus,diesel,medium,city,16.42
Chandigarh,Hyderabad,1442,bus,diesel,medium,city,199.29
Kolkata,Kochi,1121,bike,diesel,high,highway,160.63
Ranchi,Pune,308,bike,petrol,low,city,51.5
Coimbatore,Bhopal,740,car,electric,medium,rural,23.87
Delhi,Visakhapatnam,2150,bus,petrol,high,highway,240.52
Kochi,Bhubaneswar,168,bus,diesel,high,city,36.54
Bhopal,Pune,901,car,petrol,low,city,163.1
Kochi,Mumbai,230,bike,diesel,low,rural,23.92
Delhi,Mysore,841,bike,diesel,low,city,130.65
Hyderabad,Ranchi,1149,bike,petrol,medium,highway,154.47
Pune,Ranchi,1068,bus,petrol,medium,rural,171.12
Visakhapatnam,Goa,276,bike,electric,high,city,12.86
Indore,Patna,290,bike,electric,high,city,10.53
Nagpur,Bhopal,939,bus,diesel,low,highway,146.55
Bhubaneswar,Lucknow,781,bike,petrol,high,highway,171.78
Hyderabad,Bangalore,2008,car,diesel,medium,highway,363.26
Ahmedabad,Nagpur,1046,car,diesel,low,city,108.01
Bhubaneswar,Madurai,485,bike,electric,high,rural,20.57
Bhopal,Nagpur,336,car,electric,high,rural,10.54
Pune,Mysore,2154,car,petrol,medium,rural,343.59
Ranchi,Indore,660,bike,electric,low,highway,14.17
Chandigarh,Ranchi,1903,bus,electric,high,rural,70.58
Patna,Bangalore,1774,car,diesel,high,highway,370.53
Chennai,Delhi,1132,car,petrol,high,city,217.39
Delhi,Lucknow,1267,car,diesel,medium,city,195.68
Jaipur,Indore,904,car,diesel,medium,highway,93.65
Hyderabad,Kolkata,1624,bike,petrol,medium,city,219.1
Bhubaneswar,Chennai,1218,car,petrol,low,highway,129.78
Bhopal,Pune,2183,bike,diesel,medium,rural,294.79
Bhopal,Hyderabad,1716,car,petrol,high,highway,357.41
Patna,Lucknow,440,car,petrol,low,rural,41.73
Delhi,Chennai,1115,bike,petrol,medium,rural,206.06
Kolkata,Kochi,807,bus,petrol,high,highway,81.26
Madurai,Kochi,1015,bus,diesel,low,highway,169.95
Patna,Indore,1783,bus,petrol,low,rural,214.05
Hyderabad,Madurai,1121,car,petrol,high,rural,176.74
Goa,Chennai,509,car,petrol,medium,highway,78.25
Bangalore,Jaipur,539,bike,electric,high,rural,20.74
Chennai,Coimbatore,1787,bus,electric,low,rural,40.59
Chandigarh,Patna,487,bike,electric,medium,city,16.39
Trivandrum,Chandigarh,1135,car,electric,medium,rural,31.6
Indore,Mumbai,2097,car,diesel,medium,highway,340.16
Goa,Bhubaneswar,2034,car,petrol,low,city,355.78
Bhubaneswar,Kolkata,698,car,petrol,high,rural,158.02
Ahmedabad,Madurai,478,bike,petrol,low,rural,55.72
Coimbatore,Nagpur,1469,car,diesel,high,highway,228.25
Hyderabad,Indore,124,bike,petrol,low,highway,11.84
Coimbatore,Bangalore,2046,bike,petrol,low,city,253.89
Goa,Mysore,1181,car,petrol,high,city,219.61
Jaipur,Madurai,1182,car,diesel,medium,city,141.42
Jaipur,Ahmedabad,2021,car,petrol,medium,rural,192.58
Bhubaneswar,Pune,1699,bike,petrol,high,city,271.71
Ranchi,Chandigarh,1845,bike,petrol,medium,city,361.98
Bhopal,Indore,1101,bike,petrol,medium,city,132.3
Lucknow,Ranchi,1621,car,electric,low,highway,44.41
Trivandrum,Mysore,520,bike,petrol,high,highway,104.48
Nagpur,Jaipur,150,bus,diesel,medium,rural,24.3
Madurai,Bhubaneswar,1460,bus,diesel,low,highway,235.89
Chandigarh,Ranchi,2184,bike,electric,low,highway,85.59
Visakhapatnam,Coimbatore,2034,bus,petrol,low,rural,265.75
Nagpur,Trivandrum,2129,bus,petrol,high,city,390.36
Kochi,Trivandrum,615,bus,electric,high,rural,24.16
Jaipur,Hyderabad,457,bus,diesel,low,city,44.26
Hyderabad,Kochi,634,car,diesel,high,rural,90.48
Madurai,Mumbai,2182,car,diesel,high,city,275.73
Hyderabad,Pune,114,bus,petrol,medium,rural,12.38
Goa,Kochi,625,bus,diesel,low,city,53.47
Goa,Visakhapatnam,885,bike,diesel,medium,city,140.44
Visakhapatnam,Coimbatore,582,bus,petrol,high,city,107.1
Bhubaneswar,Visakhapatnam,1662,bus,diesel,medium,highway,138.99
Ahmedabad,Chandigarh,2193,car,electric,high,city,78.23
Coimbatore,Ranchi,453,car,diesel,high,city,107.82
Ranchi,Bangalore,593,bike,electric,medium,rural,21.36
Kolkata,Chandigarh,1110,bike,petrol,medium,city,158.58
Lucknow,Bangalore,2008,bus,electric,low,city,67.35
Nagpur,Bangalore,783,car,diesel,low,city,70.34
Bhopal,Indore,1439,bus,electric,high,rural,65.61
Mysore,Chandigarh,766,car,diesel,low,highway,106.35
Mumbai,Jaipur,1840,bus,diesel,low,highway,157.82
Chennai,Madurai,1115,bus,diesel,high,rural,113.34
Bangalore,Chennai,1137,bike,electric,medium,highway,34.15
Kolkata,Chennai,1124,bus,petrol,medium,city,152.91
Hyderabad,Bhubaneswar,1906,bus,electric,low,city,45.85
Visakhapatnam,Chandigarh,141,bus,petrol,high,city,33.62
Trivandrum,Kochi,1353,bike,electric,high,highway,40.66
Kolkata,Coimbatore,1351,car,petrol,low,rural,129.85
Nagpur,Mumbai,2198,car,electric,medium,city,83.15
Lucknow,Bhopal,1412,bus,electric,high,rural,44.54
Hyderabad,Mumbai,2088,bike,electric,high,highway,64.38
Lucknow,Chennai,1138,bike,electric,low,rural,27.72
Coimbatore,Goa,1470,bus,diesel,high,highway,297.23
Ranchi,Bangalore,1835,bike,electric,high,highway,35.51
Chandigarh,Hyderabad,99,bus,petrol,high,highway,22.87
Madurai,Visakhapatnam,1898,bus,petrol,low,rural,301.92
Chandigarh,Nagpur,262,bus,petrol,low,highway,23.66
Mysore,Chandigarh,2060,bus,electric,medium,rural,70.37
Chennai,Mysore,2036,car,electric,medium,rural,70.62
Bangalore,Lucknow,1937,car,electric,medium,highway,38.06
Bangalore,Ahmedabad,2077,bus,diesel,high,highway,220.71
Kochi,Trivandrum,386,bus,petrol,low,city,33.89
Delhi,Kochi,1275,bike,diesel,high,city,208.53
Madurai,Hyderabad,1355,bus,diesel,high,city,190.14
Chennai,Kochi,1069,car,diesel,high,city,206.22
Hyderabad,Visakhapatnam,2170,bike,diesel,medium,highway,277.78
Bangalore,Goa,391,bus,diesel,low,city,78.09
Bangalore,Ranchi,445,car,diesel,low,highway,49.58
Ahmedabad,Mumbai,1726,bus,electric,low,city,28.44
Ranchi,Pune,753,bike,petrol,low,city,78.01
Bhubaneswar,Coimbatore,2133,bus,electric,medium,highway,35.73
Ranchi,Indore,977,bike,petrol,low,city,101.23
Goa,Bhubaneswar,2171,bike,petrol,medium,city,430.88
Trivandrum,Bangalore,882,bike,diesel,high,city,151.62
Nagpur,Trivandrum,1764,car,electric,medium,city,48.25
Kolkata,Trivandrum,2011,bus,diesel,low,highway,231.11
Visakhapatnam,Jaipur,703,bike,diesel,high,rural,100.26
Bangalore,Ranchi,1968,car,petrol,medium,city,355.82
Nagpur,Hyderabad,1977,car,electric,high,highway,51.89
Delhi,Indore,1083,bus,petrol,low,highway,130.63
Bhubaneswar,Pune,362,bike,petrol,high,rural,42.98
Madurai,Bhubaneswar,2101,bus,electric,low,city,78.09
Madurai,Pune,964,bus,petrol,medium,highway,165.29
Trivandrum,Madurai,2095,car,diesel,medium,rural,399.7
Patna,Chandigarh,675,bus,electric,high,rural,15.73
Nagpur,Ahmedabad,171,bike,petrol,medium,city,18.24
Chandigarh,Nagpur,619,car,electric,low,highway,14.18
Patna,Pune,835,bus,electric,low,city,32.64
Chennai,Delhi,1085,car,diesel,low,highway,213.16
Delhi,Bhubaneswar,1700,bus,electric,medium,highway,62.08
Kochi,Hyderabad,2058,bike,petrol,medium,rural,357.7
Bhubaneswar,Kolkata,1508,bus,petrol,medium,city,143.34
Mumbai,Chandigarh,1342,bike,electric,low,city,27.8
Visakhapatnam,Hyderabad,2007,car,electric,medium,rural,66.46
Goa,Chandigarh,1901,bike,electric,medium,highway,70.39
Bhubaneswar,Bhopal,1682,bike,petrol,high,rural,195.49
Kolkata,Indore,1335,bike,diesel,medium,city,254.35
Delhi,Indore,2096,bike,electric,medium,rural,51.84
Bhopal,Delhi,1286,bike,petrol,medium,highway,149.47
Ranchi,Bangalore,1126,bike,diesel,medium,highway,103.78
Coimbatore,Nagpur,1511,car,electric,high,city,31.01
Trivandrum,Bhopal,1200,bus,petrol,high,city,163.39
Goa,Ahmedabad,426,bike,diesel,medium,city,47.55
Indore,Madurai,2071,bus,diesel,medium,rural,359.27
Ranchi,Goa,1835,bus,electric,medium,highway,70.26
Bangalore,Bhopal,506,car,petrol,low,rural,84.21
Trivandrum,Pune,372,bus,electric,medium,city,11.35
Chennai,Pune,1459,car,electric,low,city,42.53
Mumbai,Kochi,932,bike,electric,high,city,33.44
Patna,Chennai,1061,car,electric,high,city,48.46
Kolkata,Kochi,453,bike,petrol,medium,rural,42.4
Mumbai,Bhubaneswar,1654,bus,diesel,medium,rural,245.75
Chandigarh,Nagpur,190,bus,diesel,low,highway,35.51
Trivandrum,Madurai,1244,bus,petrol,low,highway,127.02
Trivandrum,Nagpur,1436,bus,electric,low,rural,48.39
Ahmedabad,Indore,525,car,electric,medium,highway,20.11
Bhopal,Goa,1941,bus,petrol,high,rural,203.0
Indore,Jaipur,649,car,electric,low,highway,14.72
Bangalore,Bhubaneswar,1635,bike,electric,low,highway,28.26
Madurai,Lucknow,924,bike,petrol,medium,rural,114.08
Kolkata,Chennai,548,bike,electric,medium,rural,9.96
Delhi,Kochi,410,car,petrol,low,rural,51.94
Delhi,Kochi,183,car,petrol,medium,rural,29.85
Goa,Jaipur,750,bus,petrol,high,rural,103.16
Hyderabad,Trivandrum,1840,car,petrol,high,highway,343.05
Lucknow,Trivandrum,482,car,petrol,low,highway,73.82
Ranchi,Madurai,1454,bus,diesel,high,rural,226.07
Ahmedabad,Mumbai,598,bus,petrol,high,rural,116.2
Goa,Coimbatore,1767,bike,diesel,high,rural,252.78
Mysore,Delhi,1869,bus,petrol,low,city,223.82
Kochi,Mumbai,1252,car,petrol,medium,rural,231.02
Bangalore,Kochi,1192,bus,petrol,medium,city,149.82
Ranchi,Bhubaneswar,485,car,electric,high,highway,11.92
Lucknow,Hyderabad,1266,car,electric,low,city,44.36
Patna,Coimbatore,1339,car,electric,medium,highway,47.87
Bangalore,Delhi,949,car,diesel,medium,rural,169.76
Bhopal,Goa,1559,car,diesel,medium,city,191.75
Mysore,Chennai,404,bike,petrol,medium,rural,37.33
Chennai,Hyderabad,743,bike,electric,low,highway,13.08
Hyderabad,Lucknow,1161,bus,electric,high,highway,50.67
Nagpur,Lucknow,1601,bus,diesel,high,city,276.43
Visakhapatnam,Lucknow,594,bike,diesel,low,city,68.22
Lucknow,Indore,791,bus,electric,high,city,23.67
Goa,Hyderabad,328,bike,diesel,high,highway,51.72
Patna,Kochi,623,bike,diesel,medium,rural,102.65
Pune,Visakhapatnam,525,bike,diesel,medium,highway,54.22
Bhubaneswar,Coimbatore,520,car,electric,high,city,22.68
Chandigarh,Kolkata,1322,bike,electric,medium,rural,38.27
Chandigarh,Goa,2074,bike,petrol,high,highway,492.63
Mysore,Indore,668,bus,petrol,high,rural,99.88
Mumbai,Ranchi,1589,car,diesel,high,city,362.44
Bhopal,Coimbatore,254,bike,diesel,high,city,53.26
Chandigarh,Madurai,1147,car,electric,medium,city,37.72
Nagpur,Patna,1813,bike,diesel,medium,city,150.75
Chandigarh,Nagpur,1965,car,electric,high,highway,81.41
Lucknow,Mumbai,1226,bike,electric,high,highway,25.14
Delhi,Pune,1896,bike,diesel,low,rural,225.48
Madurai,Patna,1056,car,diesel,high,city,178.05
Patna,Goa,763,bike,diesel,high,city,87.04
Bangalore,Madurai,1972,car,electric,high,highway,65.65
Jaipur,Delhi,1458,bike,petrol,low,rural,124.42
Mumbai,Kolkata,1983,bus,electric,high,highway,78.09
Patna,Madurai,1616,bus,petrol,high,city,331.93
Hyderabad,Visakhapatnam,500,bike,diesel,low,rural,76.86
Bangalore,Jaipur,568,car,electric,high,highway,22.77
Kolkata,Bhubaneswar,1250,bus,petrol,low,city,151.3
Madurai,Nagpur,408,bike,petrol,high,city,43.33
Lucknow,Bhubaneswar,387,bike,diesel,low,city,53.59
Chandigarh,Nagpur,1355,bike,diesel,low,highway,183.25
Chennai,Goa,1652,bike,electric,low,highway,33.43
Ranchi,Ahmedabad,690,car,petrol,high,city,142.14
Lucknow,Ranchi,1158,car,petrol,high,rural,143.79
Coimbatore,Mysore,592,bus,petrol,high,highway,81.54
Bangalore,Lucknow,744,car,petrol,low,city,124.23
Kolkata,Delhi,1607,car,electric,low,city,56.27
Kolkata,Madurai,624,bus,electric,high,city,15.44
Coimbatore,Visakhapatnam,945,bus,petrol,low,rural,169.98
Pune,Mumbai,996,bike,petrol,high,city,125.97
Patna,Pune,1426,bike,petrol,low,city,190.56
Jaipur,Madurai,1442,bike,diesel,high,city,331.54
Indore,Ranchi,871,car,petrol,medium,rural,69.97
Trivandrum,Mumbai,1507,bus,electric,medium,city,24.89
Patna,Kolkata,687,car,diesel,medium,city,56.38
Coimbatore,Pune,1461,car,diesel,low,rural,192.67
Mumbai,Kolkata,1939,car,diesel,low,highway,338.74
Visakhapatnam,Trivandrum,1809,bus,diesel,medium,rural,284.33
Delhi,Pune,1312,bus,diesel,high,city,128.14
Bangalore,Lucknow,975,bus,petrol,low,city,126.96
Mysore,Chennai,1850,bike,petrol,low,rural,348.54
Goa,Indore,153,bike,diesel,low,city,22.17
Patna,Hyderabad,1963,bus,electric,medium,highway,74.89
Visakhapatnam,Mumbai,288,bike,petrol,high,highway,55.28
Pune,Nagpur,744,car,diesel,high,highway,87.48
Hyderabad,Trivandrum,902,bike,electric,high,highway,28.07
Goa,Patna,995,car,diesel,low,rural,164.05
Mumbai,Bhopal,800,car,electric,medium,highway,21.42
Madurai,Kochi,689,car,diesel,high,city,89.2
Madurai,Trivandrum,623,bus,petrol,low,rural,90.64
Bhopal,Chandigarh,784,car,electric,medium,city,19.56
Madurai,Bhopal,1006,car,petrol,high,highway,217.49
Ahmedabad,Ranchi,1905,bus,electric,low,rural,67.63
Bhubaneswar,Delhi,1452,bike,diesel,medium,highway,242.85
Hyderabad,Bhubaneswar,1333,bike,petrol,high,highway,225.43
Indore,Ahmedabad,777,bus,diesel,medium,rural,119.98
Trivandrum,Nagpur,960,bike,diesel,low,highway,166.73
Lucknow,Bhopal,329,bike,diesel,low,highway,31.35
Visakhapatnam,Chennai,1531,bus,petrol,high,highway,217.97
Pune,Coimbatore,1192,car,electric,high,rural,36.33
Bhopal,Jaipur,943,bike,electric,high,highway,35.94
Indore,Goa,2125,bus,petrol,high,highway,455.98
Goa,Kolkata,1496,bike,electric,medium,rural,32.7
Bhopal,Kolkata,1663,car,diesel,medium,rural,232.69
Nagpur,Kochi,1796,car,electric,medium,rural,30.65
Indore,Ranchi,282,bus,petrol,medium,rural,53.91
Pune,Bhopal,2148,car,diesel,low,highway,210.76
Bhubaneswar,Nagpur,2137,bus,petrol,low,city,333.77
Bhubaneswar,Goa,921,bus,petrol,high,highway,107.16
Indore,Pune,694,car,electric,high,city,13.54
Hyderabad,Goa,344,bike,diesel,medium,city,47.62
Jaipur,Bangalore,1115,car,electric,high,highway,53.17
Trivandrum,Delhi,646,bike,diesel,medium,city,82.01
Bhubaneswar,Delhi,446,bus,diesel,high,city,82.41
Patna,Goa,1329,car,diesel,medium,city,222.28
Indore,Chandigarh,2059,bus,electric,high,highway,86.1
Patna,Chennai,303,bike,petrol,high,city,42.54
Kolkata,Visakhapatnam,294,bike,electric,low,city,9.33
Kolkata,Jaipur,1475,bike,petrol,high,highway,188.4
Madurai,Bhubaneswar,1408,bike,petrol,high,city,234.32
Hyderabad,Patna,815,car,diesel,medium,city,91.46
Nagpur,Goa,1134,bus,diesel,high,highway,173.17
Chennai,Madurai,1169,bus,petrol,medium,city,132.02
Delhi,Madurai,700,car,electric,medium,highway,20.47
Jaipur,Goa,809,bus,electric,medium,highway,21.54
Bhubaneswar,Mumbai,1934,car,electric,high,city,91.23
Nagpur,Delhi,1516,bus,petrol,low,city,184.49
Delhi,Chandigarh,385,bike,diesel,high,highway,92.01
Goa,Chandigarh,1674,car,diesel,medium,city,199.05
Jaipur,Bhubaneswar,1179,bus,electric,low,city,46.26
Visakhapatnam,Coimbatore,1395,bike,petrol,high,rural,188.43
Coimbatore,Delhi,1457,bus,diesel,high,highway,276.51
Nagpur,Kochi,83,bus,petrol,high,city,15.1
Madurai,Delhi,937,bus,petrol,low,highway,163.82
Kochi,Hyderabad,2056,car,diesel,low,city,249.92
Chennai,Bhopal,765,bus,diesel,low,rural,105.31
Jaipur,Kolkata,1223,car,petrol,low,highway,139.09
Kochi,Hyderabad,319,bus,electric,medium,highway,6.31
Bhubaneswar,Patna,1130,bike,petrol,low,city,121.65
Bangalore,Ranchi,80,bike,diesel,high,rural,12.5
Bhubaneswar,Ranchi,1179,bus,electric,low,highway,23.93
Lucknow,Chandigarh,1027,car,electric,low,rural,28.12
Patna,Kochi,330,bike,petrol,low,city,58.09
Goa,Chennai,950,car,diesel,medium,highway,112.15
Madurai,Goa,1724,bus,diesel,low,rural,267.73
Trivandrum,Mysore,1507,car,petrol,high,highway,322.9
Mumbai,Visakhapatnam,1982,car,electric,high,highway,84.36
Visakhapatnam,Kolkata,1774,car,electric,high,highway,71.35
Bhopal,Kolkata,1781,car,electric,low,rural,31.39
Lucknow,Madurai,967,bike,petrol,high,city,98.84
Kolkata,Patna,2070,bike,petrol,low,highway,266.78
Goa,Indore,884,bus,diesel,medium,highway,93.84
Bhopal,Goa,2119,bike,petrol,medium,city,362.31
Indore,Bangalore,1031,bike,electric,low,highway,25.65
Mumbai,Kochi,1263,bike,diesel,high,city,224.98
Hyderabad,Bangalore,1914,car,petrol,low,rural,280.48
Coimbatore,Goa,1265,bus,diesel,high,rural,177.43
Ranchi,Patna,843,bus,electric,low,highway,15.58
Visakhapatnam,Ranchi,325,bus,petrol,low,city,36.5
Jaipur,Ranchi,1326,car,electric,high,rural,49.79
Goa,Chandigarh,499,bus,petrol,high,rural,56.27
Lucknow,Mysore,1777,car,electric,medium,rural,44.09
Jaipur,Delhi,541,bus,diesel,high,rural,53.52
Kolkata,Ranchi,2071,car,electric,high,rural,62.07
Bhubaneswar,Mysore,2169,bus,electric,low,rural,84.52
Bhubaneswar,Indore,142,bike,diesel,low,city,13.66
Visakhapatnam,Trivandrum,1436,bus,diesel,medium,city,179.14
Mumbai,Lucknow,1726,bike,diesel,medium,highway,225.77
Ahmedabad,Bhubaneswar,724,bike,electric,low,highway,24.23
Mumbai,Goa,1986,bus,diesel,medium,city,316.55
Ranchi,Goa,1899,car,petrol,high,city,410.74
Kolkata,Jaipur,446,bike,electric,high,highway,15.5
Coimbatore,Hyderabad,313,bus,diesel,medium,city,48.97
Indore,Delhi,1120,bus,electric,high,highway,49.41
Kochi,Delhi,190,car,diesel,high,rural,23.71
Bhubaneswar,Patna,195,bike,petrol,high,highway,22.76
Kolkata,Bangalore,1302,bike,diesel,low,highway,172.14
Chandigarh,Patna,672,bike,petrol,low,rural,84.53
Kochi,Patna,1190,bus,electric,medium,city,37.13
Kolkata,Pune,794,bike,electric,high,highway,27.44
Chandigarh,Trivandrum,142,bike,diesel,high,city,21.02
Goa,Delhi,995,car,electric,medium,city,19.36
Ranchi,Delhi,1808,car,diesel,low,rural,301.37
Kochi,Pune,1923,bike,diesel,medium,highway,185.21
Lucknow,Hyderabad,1357,bus,electric,medium,rural,35.07
Ahmedabad,Trivandrum,482,car,petrol,high,rural,100.47
Delhi,Indore,773,bike,electric,high,rural,32.48
Bhubaneswar,Chandigarh,2126,car,electric,medium,city,79.89
Patna,Kochi,1062,bike,petrol,medium,city,170.1
Ahmedabad,Bhubaneswar,2172,car,diesel,low,city,399.28
Kolkata,Chennai,1166,car,electric,low,rural,37.1
Delhi,Visakhapatnam,440,bike,electric,medium,rural,15.11
Mumbai,Bangalore,641,bike,diesel,medium,city,117.13
Madurai,Indore,254,car,petrol,medium,highway,31.48
Lucknow,Ahmedabad,653,car,electric,low,highway,12.86
Lucknow,Indore,679,bike,petrol,high,highway,75.19
Visakhapatnam,Ranchi,86,bus,diesel,high,rural,9.05
Kolkata,Madurai,521,bike,electric,low,highway,14.39
Goa,Madurai,2017,bike,diesel,low,rural,219.74
Jaipur,Ahmedabad,812,bus,electric,high,city,17.53
Bhopal,Goa,1934,bike,electric,low,city,73.77
Nagpur,Chandigarh,2014,bike,diesel,low,rural,347.01
Kochi,Ranchi,595,bus,diesel,high,rural,79.29
Bangalore,Kochi,669,bike,electric,medium,city,16.81
Jaipur,Chandigarh,1562,bus,petrol,medium,rural,271.09
Kolkata,Pune,2093,car,diesel,low,highway,347.42
Ahmedabad,Bhopal,1977,bus,petrol,medium,city,384.24
Coimbatore,Chandigarh,219,car,electric,high,highway,8.91
Bangalore,Chennai,2113,bike,diesel,low,highway,347.02
Trivandrum,Goa,1984,car,petrol,low,city,394.04
Patna,Nagpur,704,car,diesel,high,city,148.93
Ranchi,Jaipur,651,bus,petrol,low,rural,107.9
Mumbai,Kochi,1053,bike,petrol,high,highway,117.16
Hyderabad,Pune,2179,car,petrol,high,city,508.9
Patna,Chennai,1733,car,electric,high,highway,44.97
Ranchi,Hyderabad,1505,car,electric,low,highway,38.47
Patna,Goa,131,car,petrol,high,rural,16.4
Hyderabad,Mysore,1993,car,diesel,low,city,233.62
Ahmedabad,Kolkata,1447,bike,diesel,medium,city,230.2
Patna,Pune,759,bus,electric,low,rural,29.37
Bangalore,Lucknow,478,car,petrol,low,rural,72.12
Patna,Ahmedabad,994,car,electric,high,rural,24.01
Pune,Nagpur,672,bus,petrol,medium,rural,107.67
Bangalore,Bhubaneswar,1997,bike,petrol,high,rural,217.99
Bhopal,Nagpur,947,bike,electric,low,city,19.64
Madurai,Mysore,269,bike,petrol,low,city,35.05
Jaipur,Delhi,1200,bus,diesel,medium,rural,195.68
Bhopal,Jaipur,1386,bus,electric,low,city,46.27
Indore,Madurai,1406,car,diesel,medium,rural,235.99
Kochi,Patna,1111,bike,petrol,low,city,143.67
Mysore,Coimbatore,1380,bus,diesel,medium,rural,131.49
Madurai,Jaipur,1514,bike,diesel,medium,rural,182.15
Lucknow,Goa,491,car,petrol,high,rural,71.17
Kolkata,Bangalore,1534,bike,diesel,low,rural,271.63
Mumbai,Kochi,1903,car,petrol,high,highway,311.37
Lucknow,Visakhapatnam,1336,car,electric,high,highway,31.61
Trivandrum,Kolkata,1104,bus,electric,high,rural,22.25
Mumbai,Ahmedabad,1803,car,petrol,low,city,290.75
Chennai,Ranchi,1096,car,petrol,medium,rural,201.05
Jaipur,Ranchi,1369,bus,electric,medium,rural,44.24
Bhopal,Delhi,996,car,diesel,medium,rural,194.83
Ranchi,Madurai,1995,bus,electric,low,rural,43.6
Bhopal,Lucknow,1344,bike,electric,medium,city,39.0
Jaipur,Ranchi,681,bus,diesel,medium,highway,124.46
Coimbatore,Patna,972,bus,petrol,low,city,105.87
Kochi,Pune,1558,car,petrol,high,highway,296.97
